"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Wes Roach",0.018,288.2,0.008,0.14,-0.026,-0.096,71.574,126,191,84,6,18,101
"Trey Mullinax",0.01,306.8,-1.325,0.092,0.346,-0.429,72.279,177,193,88,5,13,71
"Andres Romero",0.005,292.1,0.665,0.322,0.166,-0.483,71.636,133,178,75,6,12,36
"Aaron Wise",-0.01,303.2,-0.166,-0.546,0.658,-0.122,71.013,76,185,82,6,17,85
"Scott Stallings",-0.012,304.3,-0.627,0.48,-0.03,-0.462,72.951,208,183,88,10,26,76
"Brian Harman",-0.013,279.5,0.842,-1.697,0.817,0.867,72.226,176,170,68,12,21,39
"Chris Kirk",-0.015,285.1,-0.181,-0.191,-0.062,0.238,71.192,90,191,79,16,24,102
"Keegan Bradley",-0.044,267.6,-1.782,0.302,-0.519,0.174,71.389,107,191,86,9,12,50
"Jonas Blixt",-0.088,286.4,0.203,-0.056,0.019,-0.051,71.479,118,178,74,11,21,92
"Nate Lashley",-0.096,287.9,1.084,0.204,-0.236,-0.064,70.506,37,183,86,4,16,98
"Josh Teater",-0.104,290.5,-0.713,0.059,-0.061,-0.102,71.633,132,178,82,4,14,66
"Denny McCarthy",-0.134,292.1,1.24,-0.371,0.344,-0.107,70.407,34,175,75,12,22,119
"Chris Thompson",-0.138,286.3,0.014,-0.161,0.072,-0.049,71.853,154,188,88,5,15,56
"Bronson Burgoon",-0.143,301,-0.459,-0.089,0.263,-0.317,71.296,98,188,86,15,25,63
"Fabián Gómez",-0.152,281.6,-0.224,-0.214,0.146,-0.084,71.851,152,173,74,8,19,104
"Brandon Hagy",-0.153,311.5,-1.025,-0.306,0.608,-0.455,72.845,204,180,72,3,12,48
"Shawn Stefani",-0.169,287,0.376,-0.372,0.278,-0.075,71.595,128,188,93,9,10,88
"Ryan Armour",-0.227,266.1,0.47,0.119,-0.151,-0.195,70.791,60,175,77,15,24,80
"Brian Stuard",-0.245,272.6,-0.814,-0.305,-0.407,0.468,72.607,195,178,79,14,32,86
"Hudson Swafford",-0.245,295.7,0.114,0.014,-0.301,0.041,71.345,102,191,91,15,28,116
"Danny Willett",-0.263,301.3,-1.72,0.327,-0.733,0.144,72.198,173,180,77,4,9,12
"Scott Brown",-0.309,281.9,0.415,-0.397,-0.033,0.12,71.329,101,173,77,10,19,69
"Vaughn Taylor",-0.346,284.5,0.257,-0.202,-0.179,0.035,71.117,85,183,73,13,22,108
"Patrick Reed",-0.435,282.4,-1.141,-1.043,0.536,0.072,72.034,165,183,91,4,13,45
"Billy Horschel",-0.456,278.6,-1.12,-0.763,0.167,0.14,71.832,148,183,79,8,22,44
"Jamie Lovemark",-0.489,289.7,-0.406,-0.473,-0.143,0.126,71.389,107,193,98,22,33,45
"Max Homa",-0.529,296.2,-0.114,0.251,-0.116,-0.665,72.798,202,185,82,9,21,64
"Cody Gribble",-0.548,288.4,-0.294,-0.261,-0.705,0.418,72.382,181,175,75,9,16,72
