"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Aaron Wise",-0.256,304.1,-0.116,-0.493,0.43,-0.193,71.365,112,185,82,10,25,97
"Hunter Mahan",-0.265,293.9,0.156,-0.188,0.353,-0.43,71.41,115,180,79,21,39,178
"Jimmy Walker",-0.27,298.2,0.34,-0.186,-0.444,0.36,71.746,149,188,82,16,35,58
"Jonas Blixt",-0.28,286.7,-0.134,-0.104,-0.078,-0.098,71.583,132,178,74,21,47,162
"Adam Long",-0.291,292.9,-0.374,-0.07,0.076,-0.298,71.651,142,178,73,12,27,128
"Rory Sabbatini",-0.293,291.1,-0.325,-0.139,0.144,-0.297,71.592,135,178,75,19,37,141
"Brice Garnett",-0.336,283.7,-0.294,-0.444,0.351,-0.243,71.333,107,180,79,14,35,174
"Nicholas Lindheim",-0.351,282.8,0.212,0.056,-0.359,-0.047,71.931,163,188,74,5,16,70
"Ryan Blaum",-0.354,291,0.056,-0.211,-0.116,-0.027,71.473,124,173,75,27,53,221
"Bronson Burgoon",-0.376,296.1,-0.58,-0.378,0.158,-0.156,71.874,157,188,86,21,39,96
"Chris Stroud",-0.384,287.2,0.796,0.24,-0.869,0.244,71.346,108,188,82,18,34,128
"David Hearn",-0.391,273.6,0.045,-0.122,-0.08,-0.188,71.911,161,185,77,13,36,147
"Alex Noren",-0.393,300,-0.07,0.115,-0.553,0.045,71.016,75,180,75,21,40,33
"Sangmoon Bae",-0.399,293.2,-0.025,-0.438,0.247,-0.208,71.935,164,183,82,19,34,119
"Anirban Lahiri",-0.401,297.8,0.339,-0.279,-0.213,0.091,71.178,89,175,79,17,26,77
"Dominic Bozzelli",-0.419,292.5,1.074,-0.215,-0.18,-0.023,70.362,29,183,81,26,45,135
"Wyndham Clark",-0.421,312.4,0.467,-0.774,0.181,0.172,71.055,84,183,78,29,52,165
"Peter Uihlein",-0.434,297,0.543,-0.259,-0.184,0.009,72.036,166,185,86,20,41,87
"Jim Herman",-0.436,288.2,-0.595,0.263,0.016,-0.715,72.498,190,183,77,12,31,118
